Dissociating molecule,Partner,Arrhenius n,Arrhenius С(*Na/10^16)
N2,N,-1.6,3.0
N2,N2,-1.6,0.7
N2,O,-1.6,3.0
N2,NO,-1.6,0.7
N2,O2,-1.6,0.7
O2,O2,-1.5,0.2
O2,O,-1.5,1.0
O2,N,-1.5,0.2
O2,NO,-1.5,0.2
O2,N2,-1.5,0.2
NO,O,0.0,0.000011
NO,N,0.0,0.000011
NO,O2,0.0,0.0000005
NO,N2,0.0,0.0000005
NO,NO,0.0,0.0000005
