
diagrammes
Die Schwalbe
feenschach
Aachener Anzeiger
Aachener Nachrichten
Aftenposten
Aftonbladet
Akademische Monatshefte f"ur Schach
Allgemeine Zeitung Chemnitz
American Chess Bulletin
Andernach
Arbejder Skak
Augsburger Allgemeine
Badische Neueste Nachrichten
Bakinskie Chakhmaty%
Bakinski Rabotchi
Baltische Zeitung 1918
Basha'ar
Basler Nachrichten
Diagrmme und Figuren
Die Welt
Die Zeit
Dnipro
Dresdener Anzeiger
Dresdner SZ
Dt.~M"archenschachztg.
Dt. Schachbl"atter
Dt. Schachzeitung
Dt.~Wochenschach
Dublin Evening Mail
Due Alfieri
Duna\'ujv\'arosi
Duvtip
El Diluvio
Elhniko oxaki
Els Escacs a Catalanya
Faszinierendes Schachproblem
English Mechanic
Enroque
Era-Turnier
Eskilstina Kuriren
Europa Rochade
Europe Echecs
Fabel-100 Gedenkturnier
Fairy Chess Review
Falanga
Falkirk Herald
feenschach
Feenschach
FEENSCHACH
Feladvanjakatvel"ok Lapja
Festschrift 100 Jahre Stuttgarter Schachfreunde
Festschrift des Akademischen Schachklubs M"unchen
Feuille d'Avis de Lausanne
FIDE-Turnier
FIDE World Cup
Finales y Temas
France Echecs
Freie Presse
Friedrich-Chlubna-GT
Funkschach
Darmst"adter Tagblatt 1924
Garai--50--JT
Gazeta Czestochowska
Geburtstagsturnier "`Rehm-50"'
Gevers MT
Gianni Donati 50-JT
Gie"sener Freie Presse
Glasgow Weekly Citizen
Good Companions
Grasemann--GT
GROS
Grusia-70 GT
Guljaev-Grin JT
Halumbirek GT
Hamburger Problem-Nachrichten
Hamburger Turnier
Hampshire Telegraph \& Post
Hampstead and Highgate Express
Hannoversche Allgemeine Zeitung
Hannoverscher Kurier
harmonie
Hartong--MT
Hastings and St. Leonards Post
Hatchings--4
H.\,D.~Lei"s--GT
Heidelberger Tagblatt
Heilbronner Stimme
Helsingin Sanomat
Hero Cities Match
H.-Grasemann--GT
Hildebrand--80--JT
Hlas Ludu
Hofer Anzeiger
"`HOW"'-Jub.-Turnier
Ideal Mate Review
idee~\&~form
Il Contra Mossa
Illustriertes Familien-Journal
Illustrated London News
Intern. Chess Magazine
Interne Moskauer Stadtmeisterschaft
Internet
Int.~Tungsram Cup
Irish Sportsman and Farmer
Isbrannyje sadatschi L.\,I.~Kubbelja 1958 (1941)
Israel Chess Composition Society--50--JT
Israel Ring Tourney
Israel--St.~Petersburg
Israel Turnier
Ivani\'c--MT
IV.\ FIDE-Turnier
Iwunin--55--JT
Jamaica Family Journal
Janevski--50--JT
Jan-Hannelius-85-JT
Jan-Timman-50-JT
Jas
J.\,Beljakin--80-JT
J.~Berger-GT
Jerochin--MT
Joh.-Berger--GT
John-Nunn-50-JT
Journal de Gen\`eve
Journal des Echecs
JT Alex-Casa-70
JT Allrussische Problemistenver.-80
JT Barsukow-60
JT Dittrich-60
JT-Gurgenidze-60
JT Moskau 850
JT "`Oktober-70"'
JT Richard B"uchner-100
JT Togookhuu-60
JT Tschepishnij-70
JT W. Tschernous
JT Yves-Cheylan-60
Jubil"aumsturnier 50 Jahre WELT-Schachecke
Jub.-T. Pobeda-30
Jugendschach
Juri Suschkow--60--JT
Kaissa
Kingston
K"onig \& Turm
Korponai-MT 1989-90
Krasnyi Sever
Kubbel--MT
Kudesnik
La Battaille
La Idea
L' Alfiere di Re, 1922
L"anderkampf Sachsen - Kroatien
Landeszeitung f"ur die L"uneburger Heide
Landeszeitung L"uneburg
Land og Folk
La Settimana Enigmistica
Las Noticias
La Strat\'egie
La Tribune de Geneve
Latvian Ty
Latvia Turnier
League of Macedonian Problemists
Lebanon Herald
L'Echiquier Belge
L'Echiquier de France
L'\'Echiquier de Paris
L'Echiquier de Paris
L'Eco degli Scacchi
Leipziger Illustrierte Zeitung
Le Palam\`ede
Le probl\`eme
Les Lettres Fran\c{c}aises
Le Temps--TT
Levelezesi Sakkhirado
Liga Problemista
Limburgsch Dagblad
Lindner-70 JT
L.~Issajew--100--MT
L'Italia Scacchistica
Liverpool Courier
Liverpool Mercury
Boy's Own Paper
Bradford Observer
Brentano's Chess Monthly
Bristol Courier
Bristol Times and Mirror\year{1926}%
British Chess Magazine
Broodings
Buletin Problemistic
Bulletin Ouvrier des \'Echecs
Casopis \v{Cesk.\ \v{S}achistu}
Ce soir
Chemnitzer Tagblatt
Chervony girnik
Chess
Chess Amateur
Chess Correspondent
Chessics
Chess Journal
Chess Life
Chess Meridians
Chess Monthly
Chess Problems
Chess studies
Chliborob ukraina
Curiosit\'es Tactiques
Cyclone
Dagens Nyheter
Das indische Problem
Chemnitzer Wochenschach
Denk mit
De Problemist
Der Hahn
Der Sammler
Deutsche M"archenschachzeitung
Deutsche Schachbl"atter
Deutsche Schachhefte
Deutsche Schachzeitung
Deutsches Wochenschach
Deutsche Tageszeitung
Loeks
Logische Phantasien
Londoner Problemturnier
London Evening News
London News
Loschinski--MT
L"osungsturnier Bad Pyrmont
L"osungsturnier Z"urich
Lunds Dagblad
L"uneburger Landeszeitung
L"uneburger Schwalbe-Treffen
Lytton--70 JT
Mac. Problemist
Maestros Latinoamericanos y Finales artistico
Magasinet
Magyar Sakk\'elet
Magyar Sakkvil\'ag
Main-Post
Makedon.--Russld.--Ukraine
Mannschafts-Meisterschaft USSR
Marianka - TT
Martin--Zilina
Mat
MAT
Matlock Register
Mat Plus
Mattbilder eines Lebens
Mazed.--Kroatien
Meisterschaft der USSR
Melbourne Chess Club
Melnitschenko--65--JT
M\'{e}morial A. Casa
Memorial A. Kopnin-90
Memorial Boris Pustowoj
Memorial J. Hannelius
Memorial M. Vukcevich
Memorial Sykina
