,CloudCover,Dew PointC,Events,Max Gust SpeedKm/h,Max Humidity,Max Sea Level PressurehPa,Max TemperatureC,Max VisibilityKm,Max Wind SpeedKm/h,Mean Humidity,Mean Sea Level PressurehPa,Mean TemperatureC,Mean VisibilityKm,Mean Wind SpeedKm/h,MeanDew PointC,Min DewpointC,Min Humidity,Min Sea Level PressurehPa,Min TemperatureC,Min VisibilitykM,PDT,PST,Precipitationmm,WindDirDegrees
2013-01-01 00:00:00-08:00,0.0,-4.0,None,66,64,1031,3.0,16,50,59,1030,2.0,16,35.0,-6.0,-7.0,54,1028,0.0,16.0,,2013-01-01 00:00:00-08:00,0.0,84
2013-01-02 00:00:00-08:00,0.0,-5.0,None,69,61,1028,4.0,16,50,55,1026,3.0,16,36.0,-6.0,-7.0,48,1024,1.0,16.0,,2013-01-02 00:00:00-08:00,0.0,80
2013-01-03 00:00:00-08:00,4.0,-2.0,Rain,66,87,1025,4.0,16,50,64,1023,2.0,15,35.0,-5.0,-7.0,48,1022,0.0,8.0,,2013-01-03 00:00:00-08:00,0.0,81
2013-01-04 00:00:00-08:00,5.0,-1.0,Rain,63,89,1028,4.0,16,48,77,1025,2.0,12,35.0,-2.0,-4.0,64,1022,0.0,4.0,,2013-01-04 00:00:00-08:00,2015-04-10 00:00:00,86
2013-01-05 00:00:00-08:00,7.0,-2.0,Rain,64,82,1024,2.0,16,50,73,1023,2.0,15,33.0,-3.0,-4.0,64,1022,1.0,11.0,,2013-01-05 00:00:00-08:00,2015-04-10 00:00:00,84
2013-01-06 00:00:00-08:00,8.0,2.0,Rain,47,92,1025,4.0,16,34,84,1022,3.0,14,16.0,0.0,-2.0,75,1019,1.0,8.0,,2013-01-06 00:00:00-08:00,2.79,85
2013-01-07 00:00:00-08:00,8.0,8.0,Rain,47,92,1023,12.0,16,35,85,1020,8.0,15,13.0,6.0,2.0,77,1016,3.0,8.0,,2013-01-07 00:00:00-08:00,4.83,210
2013-01-08 00:00:00-08:00,8.0,8.0,Rain,50,93,1023,13.0,16,35,80,1019,10.0,13,15.0,7.0,6.0,66,1013,7.0,3.0,,2013-01-08 00:00:00-08:00,4.32,182
2013-01-09 00:00:00-08:00,6.0,7.0,Rain,47,89,1015,12.0,16,35,79,1012,7.0,15,11.0,3.0,1.0,68,1006,2.0,5.0,,2013-01-09 00:00:00-08:00,7.11,213
2013-01-10 00:00:00-08:00,8.0,2.0,Rain,16,85,1020,4.0,16,14,82,1018,3.0,15,4.0,1.0,0.0,79,1015,1.0,8.0,,2013-01-10 00:00:00-08:00,2.54,246
2013-01-11 00:00:00-08:00,5.0,0.0,None,13,96,1027,4.0,16,11,78,1023,1.0,12,2.0,-1.0,-4.0,59,1020,-3.0,4.0,,2013-01-11 00:00:00-08:00,0.0,234
2013-01-12 00:00:00-08:00,4.0,-2.0,Fog,16,92,1030,4.0,16,14,76,1028,0.0,11,2.0,-3.0,-5.0,59,1027,-4.0,1.0,,2013-01-12 00:00:00-08:00,0.0,257
2013-01-13 00:00:00-08:00,4.0,-3.0,None,19,92,1033,2.0,16,13,81,1032,-1.0,14,4.0,-5.0,-6.0,69,1030,-4.0,6.0,,2013-01-13 00:00:00-08:00,0.0,153
2013-01-14 00:00:00-08:00,8.0,0.0,Rain-Snow,11,96,1035,1.0,16,11,87,1034,-1.0,6,0.0,-2.0,-4.0,78,1033,-2.0,2.0,,2013-01-14 00:00:00-08:00,2015-04-10 00:00:00,140
2013-01-15 00:00:00-08:00,8.0,1.0,None,23,100,1038,4.0,16,11,90,1037,3.0,7,3.0,1.0,0.0,79,1035,1.0,2.0,,2013-01-15 00:00:00-08:00,0.0,268
2013-01-16 00:00:00-08:00,8.0,1.0,None,11,92,1038,3.0,16,10,87,1035,2.0,12,1.0,1.0,-1.0,82,1033,0.0,5.0,,2013-01-16 00:00:00-08:00,0.0,85
2013-01-17 00:00:00-08:00,1.0,-1.0,None,42,92,1033,5.0,16,32,76,1030,1.0,14,12.0,-2.0,-4.0,60,1027,-3.0,4.0,,2013-01-17 00:00:00-08:00,0.0,89
2013-01-18 00:00:00-08:00,0.0,-1.0,None,39,85,1027,7.0,16,29,72,1026,3.0,15,14.0,-2.0,-4.0,58,1025,-2.0,6.0,,2013-01-18 00:00:00-08:00,0.0,95
2013-01-19 00:00:00-08:00,2.0,0.0,Fog,42,92,1028,7.0,16,34,76,1027,2.0,6,9.0,-3.0,-5.0,60,1025,-4.0,0.0,,2013-01-19 00:00:00-08:00,0.0,278
2013-01-20 00:00:00-08:00,4.0,-1.0,Fog,72,92,1028,4.0,16,56,78,1027,1.0,7,24.0,-4.0,-5.0,64,1024,-3.0,0.0,,2013-01-20 00:00:00-08:00,0.0,307
