Encoding,picu0,picl0,picu1,picl1,picu2,picl2,picu3,picl3
0100111,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved
0110000,Reserved34,Reserved35,L2_miss_dm,L2_miss_pf,L2_read_dm,L2_read_pf,L2_wb_dm,L2_wb_pf
0110001,bi_count,Reserved,Reserved,cpd_count,cpu_mem_read_count,cpu_mem_write_count,IO_mem_read_count,IO_mem_write_count
0110010,L2_miss_wait_dm_bank0,L2_miss_wait_pf_bank0,L2_miss_count_dm_bank0,L2_miss_count_pf_bank0,L2_miss_wait_dm_bank1,L2_miss_wait_pf_bank1,L2_miss_count_dm_bank1,L2_miss_count_pf_bank1
0110011,L2_miss_count_dm_bank2,L2_miss_count_pf_bank2,L2_miss_wait_dm_bank2,L2_miss_wait_pf_bank2,L2_miss_count_dm_bank3,L2_mis_count_pf_bank3,L2_miss_wait_dm_bank3,L2_miss_wait_pf_bank3
0110100,lost_pf_pfp_full,lost_pf_by_abort,IO_pst_count,Reserved,Reserved,Reserved,Reserved,Reserved
0110101,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved
0110110,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved,Reserved
0111111,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled
1111111,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled
