,CloudCover,Dew PointC,Events,Max Gust SpeedKm/h,Max Humidity,Max Sea Level PressurehPa,Max TemperatureC,Max VisibilityKm,Max Wind SpeedKm/h,Mean Humidity,Mean Sea Level PressurehPa,Mean TemperatureC,Mean VisibilityKm,Mean Wind SpeedKm/h,MeanDew PointC,Min DewpointC,Min Humidity,Min Sea Level PressurehPa,Min TemperatureC,Min VisibilitykM,PDT,PST,Precipitationmm,WindDirDegrees
2013-01-01 00:00:00-08:00,3.0,-1.0,Fog,40,100,1032,4.0,16,32,78,1031,0.0,8,12,-3.0,-6.0,56,1028,-5.0,0.0,,2013-01-01 00:00:00-08:00,0.0,327
2013-01-02 00:00:00-08:00,1.0,-4.0,None,58,72,1028,5.0,16,48,59,1026,3.0,16,28,-6.0,-6.0,46,1024,0.0,16.0,,2013-01-02 00:00:00-08:00,0.0,94
2013-01-03 00:00:00-08:00,4.0,-1.0,Rain,56,64,1025,4.0,16,47,56,1023,2.0,16,29,-5.0,-7.0,48,1022,0.0,16.0,,2013-01-03 00:00:00-08:00,2015-04-10 00:00:00,107
2013-01-04 00:00:00-08:00,7.0,1.0,Rain,40,100,1029,6.0,16,34,85,1026,3.0,13,15,-1.0,-3.0,70,1023,1.0,5.0,,2013-01-04 00:00:00-08:00,0.51,123
2013-01-05 00:00:00-08:00,8.0,-1.0,Rain,53,82,1024,3.0,16,47,76,1023,2.0,15,20,-2.0,-3.0,70,1022,1.0,11.0,,2013-01-05 00:00:00-08:00,0.51,123
2013-01-06 00:00:00-08:00,8.0,3.0,Rain,29,92,1025,4.0,16,26,87,1023,3.0,11,12,1.0,-1.0,82,1019,1.0,5.0,,2013-01-06 00:00:00-08:00,4.83,116
2013-01-07 00:00:00-08:00,8.0,9.0,Rain,52,93,1024,12.0,16,40,85,1020,8.0,15,19,7.0,3.0,77,1015,4.0,8.0,,2013-01-07 00:00:00-08:00,1.78,199
2013-01-08 00:00:00-08:00,8.0,9.0,Rain,42,100,1023,13.0,16,34,86,1019,10.0,12,17,8.0,6.0,71,1013,7.0,2.0,,2013-01-08 00:00:00-08:00,3.56,153
2013-01-09 00:00:00-08:00,7.0,7.0,Rain,48,92,1016,12.0,16,35,82,1012,7.0,15,12,4.0,1.0,71,1006,2.0,10.0,,2013-01-09 00:00:00-08:00,5.59,211
2013-01-10 00:00:00-08:00,8.0,2.0,Rain-Snow,14,92,1020,4.0,16,13,86,1019,3.0,15,4,1.0,1.0,79,1016,1.0,6.0,,2013-01-10 00:00:00-08:00,4.06,207
