1A1,1A1 Fuel Combustion Activities - Energy Industries
1A1a,1A1a Public Electricity and Heat Production
1A1b,1A1b Petroleum Refining
1A1c,1A1c Manufacture of Solid Fuels and Other Energy Industries
1A2,1A2 Fuel Combustion Activities - Manufacturing Industries and Construction
1A2a,1A2a Iron and Steel
1A2b,1A2b Non-Ferrous Metals
1A2c,1A2c Chemicals
1A2d,1A2d Pulp, Paper and Print
1A2e,1A2e Food Processing, Beverages and Tobacco
1A2f,1A2f Non-Metallic Minerals
1A2g,1A2g Other
1A3,1A3 Transport
1A3a,1A3a Fuel Combustion Activities - Transport - Civil Aviation
1A3b,1A3b Fuel Combustion Activities - Transport - Road transportation
1A3c,1A3c Fuel Combustion Activities - Transport - Railways
1A3d,1A3d Fuel Combustion Activities - Transport - Water-borne Navigation
1A3e,1A3e Fuel Combustion Activities - Transport - Other Transportation
1A4,1A4 Fuel Combustion Activities - Other Sectors
1A4a,1A4a Commercial/Institutional
1A4b,1A4b Residential
1A4c,1A4c Agriculture/Forestry/Fishing
1A5,1A5 Fuel Combustion Activities - Non- Specified
1A5a,1A5a Stationary
1A5b,1A5b Mobile
1B1,1B1 Fugitive emissions from fuels - Solid Fuels
1B2a,1B2a Fugitive Emissions from Fuels - Oil and Natural Gas and Other Emissions from Energy Production - Oil
1B2b,1B2b Fugitive Emissions from Fuels - Oil and Natural Gas and Other Emissions from Energy Production - Natural gas
1C,1C Carbon Dioxide Transport and Storage
1D1,1D1 International Bunkers
1D1a,1D1a International Bunkers - International Aviation
1D1b,1D1b International Bunkers - International Shipping
1D2,1D2 Multilateral Operations
1D4,1D4 CO2 captured
1AB,1AB Reference Approach
2A1,2A1 Mineral industry - Cement Production
2A2,2A2 Mineral Industry - Lime Production
2A3,2A3 Mineral Industry - Glass Production
2A4,2A4 Mineral Industry - Other Process Uses of Carbonates
2B1,2B1 Chemical Industry - Ammonia Production
2B2,2B2 Chemical industry - Nitric Acid Production
2B3,2B3 Chemical industry - Adipic Acid Production
2B4,2B4 Chemical industry - Caprolactam
2B5,2B5 Chemical industry - Carbide Production
2B6,2B6 Chemical industry - Titanium Dioxide Production
2B7,2B7 Chemical Industry - Soda Ash Production
2B8,2B8 Chemical Industry - Petrochemical and Carbon Black Production
2B9,2B9 Chemical Industry - Fluorochemical Production
2C1,2C1 Metal Industry - Iron and Steel Production
2C2,2C2 Metal Industry - Ferroalloys Production
2C3,2C3 Metal Industry - Aluminium Production
2C4,2C4 Metal Industry - Magnesium Production
2C5,2C5 Metal Industry - Lead Production
2C6,2C6 Metal Industry - Zinc Production
2D,2D Non-Energy Products from Fuels and Solvent Use
2E,2E Electronics Industry
2F1,2F1 Product Uses as Substitutes for Ozone Depleting Substances - Refrigeration and Air Conditioning
2F2,2F2 Product Uses as Substitutes for Ozone Depleting Substances - Foam Blowing Agents
2F3,2F3 Product Uses as Substitutes for Ozone Depleting Substances - Fire Protection
2F4,2F4 Product Uses as Substitutes for Ozone Depleting Substances - Aerosolls
2F5,2F5 Product Uses as Substitutes for Ozone Depleting Substances - Solvents
2F6,2F6 Product Uses as Substitutes for Ozone Depleting Substances - Other Applications
2G,2G Other Product Manufacture and Use
2H,2H Other
3A,3A Enteric Fermentation
3B,3B Manure Management
3C,3C Rice Cultivation
3D1,3D1 Direct N2O from managed soils
3D2,3D2 Indirect N2O from managed soils
3E,3E Prescribed burning of Savannas
3F,3F Fiend burning of agricultural residues
3G,3G Liming
3H,3H Urea application
3I,3I Other Carbon-containing fertilizers
4A1,4A1 Forest Land Remaining Forest Land
4A2,4A2 Land Converted to Forest Land
4B1,4B1 Cropland Remaining Cropland
4B2,4B2 Land Converted to Cropland
4C1,4C1 Grassland Remaining Grassland
4C2,4C2 Land Converted to Grassland
4D1,4D1 Wetlands remaining wetlands
4D2,4D2 Land Converted to Wetlands
4E1,4E1 Settlements Remaining Settlements
4E2,4E2 Land Converted to Settlements
4F1,4F1 Other Land Remaining Other Land
4F2,4F2 Land Converted to Other Land
4G,4G Harvested Wood Products
4H,4H Other
5A,5A Solid Waste Disposal
5B,5B Biological Treatment of Solid Waste
5C,5C Incineration and Open Burning of Waste
5D,5D Wastewater Treatment and Discharge
5E,5E Other
5F,5F Memo Items
6,6 Other
7,7 KP LULUCF
